latin|allemand|espagnol|islandais|danois|tchèque|finnois|italien|japonais|néerlandais|norvégien|polonais|portugais|russe|slovaque|suédois|chinois
Sitta whiteheadi|Korsenkleiber|Trepador Corso|Taumigða|Korsikansk Spætmejse|brhlík korsický|korsikannakkeli|Picchio muratore corso|コルシカゴジュウガラ|Corsicaanse Boomklever|Korsikaspettmeis|kowalik korsykanski|Trepadeira-corsa|Корсиканский поползень|brhlík korzický|Korsikansk nötväcka|白头䴓
Sitta krueperi|Türkenkleiber|Trepador de Krüper|Barkigða|Krüpers Spætmejse|brhlík turecký|punarintanakkeli|Picchio muratore di Krüper|ムナオビゴジュウガラ|Turkse Boomklever|Tyrkerspettmeis|kowalik turecki||Рыжегрудый поползень|brhlík červenoprsý|Krüpers nötväcka|克氏䴓
Sitta neumayer|Felsenkleiber|Trepador Rupestre Occidental|Steinigða|Klippespætmejse|brhlík skalní|kallionakkeli|Picchio muratore di roccia|イワゴジュウガラ|Rotsklever|Klippespettmeis|kowalik skalny|Trepadeira-rupestre|Малый скальный поползень|brhlík skalný|Klippnötväcka|岩䴓
||||||||||||||||
Tichodroma muraria|Mauerläufer|Treparriscos|Bjargfeti|Murløber|zedníček skalní|kalliokiipijä|Picchio muraiolo|カベバシリ|Rotskruiper|Murkryper|pomurnik|Trepadeira-dos-muros|Стенолаз|murárik červenokrídly|Murkrypare|红翅旋壁雀
||||||||||||||||
Certhia familiaris|Waldbaumläufer|Agateador Norteño|Skógfeti|Træløber|šoupálek dlouhoprsý|puukiipijä|Rampichino alpestre|キバシリ|Kortsnavel boomkruiper|Trekryper|pełzacz leśny|Trepadeira-do-bosque|Пищуха|kôrovník dlhoprstý|Trädkrypare|旋木雀
Certhia brachydactyla|Gartenbaumläufer|Agateador Europeo|Garðfeti|Korttået Træløber|šoupálek krátkoprstý|etelänpuukiipijä|Rampichino comune|タンシキバシリ|Boomkruiper|Kortklotrekryper|pełzacz ogrodowy|Trepadeira-comum|Короткопалая пищуха|kôrovník krátkoprstý|Trädgårdsträdkrypare|短趾旋木雀
||||||||||||||||
Troglodytes troglodytes|Zaunkönig|Chochín Común|Músarrindill|Gærdesmutte|střízlík obecný|peukaloinen|Scricciolo comune|ミソサザイ|Winterkoning|Gjerdesmett|strzyzyk zwyczajny|Carriça|Крапивник|oriešok obyčajný|Gärdsmyg|鹪鹩
Cistothorus palustris|Sumpfzaunkönig|Ratona de los Estuarios||Sivsmutte|střízlík bažinný|suopeukaloinen|Scricciolo di palude|ハシナガヌマミソサザイ|Moeraswinterkoning|Myrsmett|strzyzyk blotny||Болотый крапивник|oriešok močiarny|Kärrgärdsmyg|长嘴沼泽鹪鹩
||||||||||||||||
Cinclus cinclus|Wasseramsel|Mirlo Acuático de Garganta Blanca|Fossbúi|Vandstær|skorec vodní|koskikara|Merlo acquaiolo|ムナジロカワガラス|Waterspreeuw|Fossekall|pluszcz|Melro-d'água|Оляпка|vodnár potočný|Strömstare|河乌
||||||||||||||||
Pycnonotus barbatus|Graubülbül|Bulbul Jardinero|Garðaglymur|Berberbulbul|bulbul zahradní|kyläbulbuli|Bulbul golanera|アフリカヒヨドリ|Grauwe Buulbuul|Hagebylbyl|bilbil ogrodowy|Tuta-negra|Бородатый бюльбюль|bylbyl bradatý|Trädgårdsbulbyl|黑眼鹎
||||||||||||||||
Regulus calendula|Rubingoldhähnchen|Reyezuelo de Moño Rojo|Rauðkollur|Rubinfuglekonge|králíček americký|rubiinihippiäinen|Regolo americano|ルビアキクイタダキ|Roodkroonhaan|Rubinfuglekonge|ogniczek||Рубиновоголовый королёк|králik rubínovohlavý|Rödkronad kungsfågel|红冠戴菊
Regulus regulus|Wintergoldhähnchen|Reyezuelo Sencillo|Glókollur|Fuglekonge|králíček obecný|hippiäinen|Regolo eurasiatico|キクイタダキ|Goudhaantje|Fuglekonge|mysikrólik|Estrelinha-de-poupa|Желтоголовый королёк|králik zlatohlavý|Kungsfågel|戴菊
Regulus teneriffae|Sommer-Goldhähnchen|Reyezuelo Tinerfeño|Eldkollur|Kanarisk Fuglekonge|králíček kanárský||Regolo delle Canarie|カナリアキクイタダキ||Kanarifuglekonge|mysikrólik kanaryjski|Estrelinha das Canárias||králik tenerifský|Kanariekungsfågel|坎岛戴菊
Regulus ignicapilla|Sommergoldhähnchen|Reyezuelo Listado|Gullkollur|Rødtoppet Fuglekonge|králícek ohnivý|tulipäähippiäinen|Fiorrancino|マミジロキクイタダキ|Vuurgoudhaan|Rødtoppfuglekonge|zniczek|Estrelinha-de-cabeça-listada|Красноголовый королёк|králik ohnivohlavý|Brandkronad kungsfågel|火冠戴菊
||||||||||||||||
Cettia cetti|Seidensänger|Ruiseñor Bastardo de Cetti|Blæsöngvari|Cettisanger|cetie jižní|silkkikerttunen|Usignolo di fiume|ヨアロッパウグイス|Cetti’s Zanger|Cettisanger|wierzbówka zwyczajna|Rouxinol-bravo|Широкохвостка|cetia západná|Cettisångare|宽尾树莺
||||||||||||||||
Phylloscopus trochilus|Fitis|Mosquitero de los Sauces|Laufsöngvari|Løvsanger|budníček větší|pajulintu|Luì grosso|キタヤナギムシクイ|Fitis|Løvsanger|piecuszek|Felosa-musical|Пеночка-весничка|kolibiarik spevavý|Lövsångare|欧柳莺
Phylloscopus collybita|Zilpzalp|Mosquitero Común|Gransöngvari|Gransanger|budníček menší|tiltaltti|Luì piccolo|チフチャフ|Tjiftjaf|Gransanger|pierwiosnek|Felosa-comum|Теньковка|kolibiarik čipčavý|Gransångare|
Phylloscopus canariensis|Kanarenzilpzalp-canariensis|Mosquitero Canario|Eyjasöngvari|Kanarisk Gransanger|budníček kanárský|kanariantiltaltti|Luì delle Canarie|カナリアチャフチャフ|Canarische Tjiftjaf|Kanarigransanger|swistunka kanaryjska|Felosa das Canáris|Канарская пеночка|kolibiarik kanársky|Kanariegransångare|加岛柳莺
Phylloscopus ibericus|Iberienzilpzalp|Mosquitero Ibérico|Grenisöngavri|Iberisk Gransanger|budníček iberský|iberiantiltaltti|Luì iberico|イベリアチャフチャフ|Iberische Tjiftjaf|Iberiagransanger|swistunka iberyjska|Felosa-ibérica|Иберийская пеночка|kolibiarik iberský|Iberisk gransångare|伊比利亚柳莺
Phylloscopus sindianus|Kaukasuszilpzalp|Mosquitero Occidental|Bjargsöngvari|Kaukasisk Gransanger|budníček černonohý|vuoritiltaltti|Luì orientale|チフチャフ|Bergtjiftjaf|Fjellgransanger|swistunka szarawa||Азиатская теньковка|kolibiarik vrchovský|Berggransångare|东方叽喳柳莺
Phylloscopus neglectus|Eichenlaubsänger|Mosquitero Pálido de los Sauces|Stubbsöngvari|Dværgløvsanger|budníček malinký|pikkutiltaltti|Luì grosso orientale|イランムシクイ|Dwergtjiftjaf|Persersanger|swistunka afganska||Иранская пеночка|kolibiarik borievkový|Dvärgsångare|纯色柳莺
Phylloscopus bonelli|Berglaubsänger|Mosquitero sombrío|Limsöngvari|Bjergløvsanger|budníček horský|vuoriuunilintu|Luì bianco|ボネリアムシクイ|Bergfluiter|Eikesanger|świstunka górska|Felosa de Bonelli|Светлобрюхая пеночка|kolibiarik horský|Bergsångare|博氏柳莺
Phylloscopus orientalis|Berg-Laubsänger-orientalis|Mosquitero Oriental|Bergsöngvari|Balkanløvsanger|budníček balkánský|balkaninuunilintu|Luì di Bonelli|ヒガシボネリアムシクイ|Balkanbergfluiter|Furusanger|swistunka zlotorzytna||Пеночка-весничка|kolibiarik balkánsky|Balkansångare|东柳莺
Phylloscopus sibilatrix|Waldlaubsänger|Mosquitero Silbador|Grænsöngvari|Skovsanger|budníček lesní|sirittäjä|Luì verde|モリムシクイ|Fluiter|Bøksanger|świstunka leśna|Felosa-assobiadeira|Пеночка-трещотка|kolibiarik sykavý|Grönsångare|林柳莺
Phylloscopus fuscatus|Dunkellaubsänger|||||Ruskouunilintu||||||||kolibiarik hnedý|Brunsångare|
Phylloscopus schwarzi|Bartlaubsänger|Mosquitero de Schwarz|Fránsöngvari|Schwarz' Løvsanger|budníček tlustozobý|siperianuunilintu|Luì di Radde|カラフトムジセッカ|Raddes Boszanger|Viersanger|świstunka grubodzioba|Felosa de Schwarz|Голосистая пеночка|kolibiarik dlhochvostý|Videsångare|巨嘴柳莺
Phylloscopus proregulus|Goldhähnchen-Laubsänger|Mosquitero de Pallas|Kollsöngvari|Fuglekongesanger|budníček zlatohlavý|hippiäisuunilintu|Luì del Pallas|カラフトムシクイ|Pallas’ Boszanger|Fuglekongesanger|świstunka złotawa|Estrelinha de Pallas|Корольковая пеночка|kolibiarik králikovitý|Kungsfågelsångare|黄腰柳莺
Phylloscopus inornatus|Gelbbrauen-Laubsänger|Mosquitero Bilistado|Hnoðrasöngvari|Hvidbrynet Løvsanger|budníček pruhohlavý|taigauunilintu|Luì forestiero|キマユムシクイ|Bladkoning|Gulbrynsanger|świstunka żółtawa|Felosa-bilistada|Зарничка|kolibiarik žltkastotemenný|Taigasångare|黄眉柳莺
Phylloscopus humei|Tienschan-Laubsänger|Mosquitero de Hume|Hnökrasöngvari|Himalayaløvsanger|budníček altajský|kashmirinuunilintu|Luì|バフマユムシクイ|Humes Bladkoning|Blekbrynsanger|świstunka ałtajska||Тусклая пеночка|kolibiarik stužkatý|Bergstaigasångare|淡眉柳莺
Phylloscopus borealis|Wanderlaubsänger|Mosquitero Boreal|Norðsöngvari|Nordsanger|budníček severní|lapinuunilintu|Luì boreale|メボソムシクイ|Noordse Boszanger|Lappsanger|świstunka północna|Felosa-boreal|Таловка|kolibiarik severský|Nordsångare|极北柳莺
Phylloscopus nitidus|Wacholder-Laubsänger|Mosquitero Verde|Einisöngvari|Kaukasisk Lundsanger|budníček žlutavý|kaukasianuunilintu|Luì nitido|ヤナギムシクイ|Groene Fitis|Østsanger, underarten nitidus|swistunka kaukaska||Желтобрюхая пеночка|kolibiarik zelenkavý||绿柳莺
Phylloscopus trochiloides|Grünlaubsänger||||Budnícek zelený||||Grauwe Fitis|Østsanger|||Зелёная пеночка|kolibiarik sivozelený|Lundsångare|暗绿柳莺
Phylloscopus coronatus|Kronenlaubsänger|Mosquitero de Temminck|Krúnusöngvari|Østlig Kronsanger|budníček korunkatý|amurinuunilintu|Luì coronato di Temminck|センダイムシクイ|Kroonboszanger|Østkronsanger|swistunka oliwkowa||Светлоголовая пеночка|kolibiarik korunkatý|Östlig kronsångare|冕柳莺
||||||||||||||||
Hippolais caligata|Buschspötter|Zarcero Escita|Glapsöngvari|Lille Gulbug|sedmihlásek malý|pikkukultarinta|Canapino asiatico|ヒメウタムシクイ|Kleine Spotvogel|Tartarsanger|zaganiacz maly|Felosa-cítica|Малая бормотушка|sedmohlások malý|Stäppsångare|靴篱莺
Hippolais rama|Buschspötter-rama|Zarcero de Sykes|Tálsöngvari|Steppegulbug|sedmihlásek větší|aavikkokultarinta|Canapino di Sykes|ヒメウタムシクイ|Sykes’ Spotvogel|Ramasanger|zaganiacz afganski||Южная бормотушка|sedmohlások svetlobruchý|Saxaulsångare|赛氏篱莺
Hippolais pallida|Blaßspötter|Zarcero Pálido|Fölsöngvari|Afrikansk Bleg Gulbug|sedmihlásek šedý|vaaleakultarinta|Canapino pallido|ハイイロウタムシクイ|Oostelijke Vale Spotvogel|Bleksanger|zaganiacz blady|Felosa-pálida|Бледная бормотушка|sedmohlások bledý|Eksångare|草绿篱莺
Hippolais opaca|Blaßspötter-opaca|Zarcero Pálido Occidental||Vestlig Bleg Gulbug|sedmihlásek západní|iberiankultarinta|Canapino pallido occidentale||Westelijke Vale Spotvogel|Maurersanger|zaganiacz płowy|||sedmohlások širokozobý|Macchiasångare|
Hippolais languida|Dornspötter|Zarcero de Upcher|Gaddsöngvari|Orientgulbug|sedmihlásek pustinný|harmaakultarinta|Canapino di Upcher|アレチウタムシクイ|Grote Vale Spotvogel|Gråsanger|zaganiacz pustynny|Felosa de Upcher|Пустынная пересмешка|sedmohlások veľkozobý|Orientsångare|淡色篱莺
Hippolais olivetorum|Olivenspötter|Zarcero Grande|Ólífusöngvari|Olivensanger|sedmihlásek olivový|oliivikultarinta|Canapino levantino|オリアブウタムシクイ|Griekse Spotvogel|Olivensanger|zaganiacz oliwny|Felosa-das-oliveiras|Средиземноморская пересмешка|sedmohlások olivový|Olivsångare|橄榄篱莺
Hippolais polyglotta|Orpheusspötter|Zarcero Común|Skopsöngvari|Spottesanger|sedmihlásek švitořivý|taiturikultarinta|Canapino comune|ウタムシクイ|Orpheusspotvogel|Spottesanger|zaganiacz szczebiotliwy|Felosa-poliglota|Многоголосая камышевка|sedmohlások štebotavý|Polyglottsångare|歌篱莺
Hippolais icterina|Gelbspötter|Zarcero Icterino|Spésöngvari|Gulbug|sedmihlásek hajní|kultarinta|Canapino maggiore|キイロウタムシクイ|Spotvogel|Gulsanger|zaganiacz|Felosa-icterina|Зелёная пересмешка|sedmohlások obyčajný|Härmsångare|绿篱莺
Acrocephalus melanopogon|Mariskensänger|Carricerín Real|Vatnasöngvari|Tarmarisksanger|rákosník tamaryškový|osmankäämikerttunen|Forapaglie castagnolo|マミジロヨシキリ|Zwartkoprietzanger|Tamarisksanger|tamaryszka|Felosa-real|Тонкоклювая камышевка|trsteniarik tamariškový|Kaveldunsångare|须苇莺
Acrocephalus paludicola|Seggenrohrsänger|Carricerín Cejudo|Fenjasöngvari|Vandsanger|rákosník ostřicový|sarakerttunen|Pagliarolo|ハシボソヨシキリ|Waterrietzanger|Vannsanger|wodniczka|Felosa-aquática|Вертлявая камышевка|trsteniarik vodný|Vattensångare|水栖苇莺
Acrocephalus schoenobaenus|Schilfrohrsänger|Carricerín Común|Síkjasöngvari|Sivsanger|rákosník proužkovaný|ruokokerttunen|Forapaglie|スゲヨシキリ|Rietzanger|Sivsanger|rokitniczka|Felosa-dos-juncos|Барсучок|trsteniarik malý|Sävsångare|蒲苇莺
Acrocephalus agricola|Feldrohrsänger|Carricero Agrícola|Dvalsöngvari|Lille Rørsanger|rákosník plavý|kenttäkerttunen|Cannaiola di Jerdon|イナダヨシキリ|Veldrietzanger|Åkersanger|trzcinniczek kaspijski|Felosa-agrícola|Индийская камышевка|trsteniarik roľný|Fältsångare|稻田苇莺
Acrocephalus scirpaceus|Teichrohrsänger|Carricero Común|Sefsöngvari|Rørsanger|rákosník obecný|rytikerttunen|Cannaiola|ヨアロッパヨシキリ|Kleine Karekiet|Rørsanger|trzcinniczek|Rouxinol-pequeno-dos-caniços|Тростниковая камышевка|trsteniarik bahenný|Rörsångare|芦莺
Acrocephalus dumetorum|Buschrohrsänger|Carricero de Blyth|Elrisöngvari|Buskrørsanger|rákosník pokřovní|viitakerttunen|Cannaiola di Blyth|ヤチヨシキリ|Struikrietzanger|Busksanger|zaroślówka|Felosa-das-moitas|Садовая камышевка|trsteniarik krovinový|Busksångare|布氏苇莺
Acrocephalus palustris|Sumpfrohrsänger|Carricero Políglota|Seljusöngvari|Kærsanger|rákosník zpěvný|luhtakerttunen|Cannaiola verdognola|ヌマヨシキリ|Bosrietzanger|Myrsanger|łozówka|Felosa-palustre|Болотная камышевка|trsteniarik obyčajný|Kärrsångare|湿地苇莺
Acrocephalus arundinaceus|Drosselrohrsänger|Carricerín Tordal|Reyrsöngvari|Drosselrørsanger|rákosník velký|rastaskerttunen|Cannareccione|オオヨシキリ|Grote Karekiet|Trostesanger|trzciniak|Rouxinol-grande-dos-caniços|Дроздовидная камышевка|trsteniarik veľký|Trastsångare|大苇莺
Acrocephalus stentoreus|Stern-Rohrsänger|Carricero Aclamador|Stilksöngvari|Papyrussanger|rákosník hlučnohlasý|papyruskerttunen|Cannareccione stentoreo|オアストラリアヨシキリ|Stentorkarekiet|Stentorsanger|trzciniak glosny||Туркестанская камышевка|trsteniarik dlhozobý|Papyrussångare|噪苇莺
Acrocephalus griseldis|Basrarohrsänger|Carricero de Basra|Álmsöngvari|Basradrosselrørsanger|rákosník irácký|basrankerttunen|Cannareccione di Bassora|ニシオオヨシキリ|Basrakarekiet|Mesopotamiasanger|trzciniak perski|Felosa-do-iraque|Иранская дроздовая камышевка|trsteniarik iracký|Basrasångare|巴士拉苇莺
Acrocephalus aedon|Dickschnabelsänger|Carricero de Pico Grueso|Döggsöngvari|Tyknæbbet Drosselrørsanger|rákosník tlustozobý|paksunokkakerttunen|Cannareccione beccoforte|ハシブトオオヨシキリ|Diksnavelrietzanger|Tykknebbsanger|trzciniak grubodzioby|Felosa-de-bico-grosso|Толстоклювая камышевка|sedmohlások hrubozobý|Tjocknäbbad sångare|厚嘴苇莺
||||||||||||||||
Locustella lanceolata|Strichelschwirl|Buscarla Lanceolada|Lensusöngvari|Stribet Græshoppesanger|cvrčilka žíhaná|viirusirkkalintu|Locustella lanceolata|マキノセンニュウ|Kleine Sprinkhaanzanger|Stripesanger|swierszczak nakrapiany|Felosa-lanceolada|Пятнистый сверчок|svrčiak škvrnitý|Träsksångare|矛斑蝗莺
Locustella naevia|Feldschwirl|Buscarla Pintoja|Engisöngvari|Græshoppesanger|cvrčilka zelená|pensassirkkalintu|Forapaglie macchiettato|ヤチセンニュウ|Sprinkhaanzanger|Gresshoppesanger|świerszczak|Felosa-malhada|Сверчок|svrčiak zelenkavý|Gräshoppssångare|黑斑蝗莺
Locustella certhiola|Streifenschwirl|Buscarla de Pallas|Þytsöngvari|Pallas Græshoppesanger|cvrčilka pruhovaná|sarasirkkalintu|Locustella del Pallas|シベリアセンニュウ|Siberische Sprinkhaanzanger|Starrsanger|świerszczak melodyjny|Felosa de Pallas|Певчий сверчок|svrčiak pásikavý|Starrsångare|小蝗莺
Locustella fluviatilis|Schlagschwirl|Buscarla Fluvial|Straumsöngvari|Flodsanger|cvrčilka říční|viitasirkkalintu|Locustella di fiume|カワセンニュウ|Krekelzanger|Elvesanger|strumieniówka|Felosa-fluvial|Речной сверчок|svrčiak riečny|Flodsångare|河蝗莺
Locustella luscinioides|Rohrschwirl|Buscarla Unicolor|Flóðsöngvari|Savisanger|cvrčilka slavíková|ruokosirkkalintu|Salciaiola|ヌマセンニュウ|Snor|Sumpsanger|brzęczka|Felosa-unicolor|Соловьиный сверчок|svrčiak slávikovitý|Vassångare|鸲蝗莺
Locustella fasciolata|Riesenschwirl|Buscarla de Gray|Glymsöngvari|Stor Græshoppesanger|cvrčilka tajgová|jättiläissirkkalintu|Forapaglie di Gray|エゾセンニュウ|Grote Krekelzanger|Urtesanger|swierszczak tajgowy|Felosa de Gray|Таёжный сверчок|svrčiak tajgový|Större flodsångare|苍眉蝗莺
||||||||||||||||
Cisticola juncidis|Cistensänger|Buitrón Común|Hálmsöngvari|Cistussanger|cistovník rákosníkový|heinäkerttu|Beccamoschino comune|セッカ|Graszanger|Cistussanger|chwastówka zwyczajna|Fuinha-dos-juncos|Веерохвостая цистикола|cistovník ryšavý|Grässångare|棕扇尾莺
Prinia gracilis|Streifenprinie|Prinia Graciosa|Rindilsöngvari|Yndefuld Prinia|prinie obecná|priinia|Prinia gracile|セスジハウチワドリ|Gestreepte Prinia|Alveprinia|prinia zwyczajna||Изящная приния|prinia tamarišková|Streckad prinia|优雅山鹪莺
||||||||||||||||
Sylvia atricapilla|Mönchsgrasmücke|Curruca Capirotada|Hettusöngvari|Munk|pěnice černohlavá|mustapääkerttu|Capinera|ズグロムシクイ|Zwartkop|Munk|kapturka|Toutinegra-de-barrette-preto|Черноголовая славка|penica čiernohlavá|Svarthätta|黑顶林莺
Sylvia borin|Gartengrasmücke|Curruca Mosquitera|Garðsöngvari|Havesanger|pěnice slavíková|lehtokerttu|Beccafico|ニワムシクイ|Tuinfluiter|Hagesanger|gajówka|Felosa-das-figueiras|Садовая славка|penica slávikovitá|Trädgårdssångare|庭园林莺
Sylvia nisoria|Sperbergrasmücke|Curruca Gavilana|Hauksöngvari|Høgesanger|pěnice vlašská|kirjokerttu|Bigia padovana|シマムシクイ|Sperwergrasmus|Hauksanger|jarzębatka|Toutinegra-gavião|Ястребиная славка|penica jarabá|Höksångare|横斑林莺
Sylvia hortensis|Orpheusgrasmücke-hortensis|Curruca Mirlona|Óðsöngvari|Mestersanger|pěnice mistrovská|lännenorfeuskerttu|Bigia grossa|メジロムシクイ|Westelijke Orpheusgrasmus|Mestersanger|lutniczka|Toutinegra-real|Певчая славка|penica záhradná|Herdesångare|歌林莺
